#twotheta, yobs, ycal, bkg, diff
2.376000e+001,3.700000e+001,4.365504e+001,4.100469e+001,-6.655036e+000
2.378000e+001,4.300000e+001,4.395545e+001,4.114616e+001,-9.554502e-001
2.380000e+001,5.100000e+001,4.426305e+001,4.128746e+001,6.736949e+000
2.382000e+001,4.600000e+001,4.457795e+001,4.142857e+001,1.422055e+000
2.384000e+001,4.000000e+001,4.490023e+001,4.156946e+001,-4.900226e+000
2.386000e+001,3.800000e+001,4.522997e+001,4.171010e+001,-7.229972e+000
2.388000e+001,4.400000e+001,4.556725e+001,4.185048e+001,-1.567246e+000
2.390000e+001,4.000000e+001,4.591209e+001,4.199055e+001,-5.912091e+000
2.392000e+001,6.000000e+001,4.626453e+001,4.213030e+001,1.373547e+001
2.394000e+001,4.500000e+001,4.662458e+001,4.226969e+001,-1.624578e+000
2.396000e+001,4.100000e+001,4.699221e+001,4.240871e+001,-5.992210e+000
2.398000e+001,4.900000e+001,4.736739e+001,4.254732e+001,1.632611e+000
2.400000e+001,4.500000e+001,4.775005e+001,4.268550e+001,-2.750053e+000
2.402000e+001,3.500000e+001,4.814011e+001,4.282322e+001,-1.314011e+001
2.404000e+001,4.100000e+001,4.853746e+001,4.296045e+001,-7.537459e+000
2.406000e+001,7.100000e+001,4.894195e+001,4.309717e+001,2.205805e+001
2.408000e+001,5.200000e+001,4.935341e+001,4.323335e+001,2.646591e+000
2.410000e+001,5.300000e+001,4.977165e+001,4.336896e+001,3.228354e+000
2.412000e+001,5.300000e+001,5.019643e+001,4.350399e+001,2.803568e+000
2.414000e+001,5.600000e+001,5.062751e+001,4.363839e+001,5.372490e+000
2.416000e+001,4.100000e+001,5.106459e+001,4.377214e+001,-1.006459e+001
2.418000e+001,5.200000e+001,5.150736e+001,4.390522e+001,4.926436e-001
2.420000e+001,4.800000e+001,5.195546e+001,4.403760e+001,-3.955455e+000
2.422000e+001,6.000000e+001,5.240851e+001,4.416925e+001,7.591494e+000
2.424000e+001,6.100000e+001,5.286610e+001,4.430015e+001,8.133904e+000
2.426000e+001,6.600000e+001,5.332778e+001,4.443027e+001,1.267222e+001
2.428000e+001,5.100000e+001,5.379308e+001,4.455958e+001,-2.793083e+000
2.430000e+001,5.800000e+001,5.426150e+001,4.468806e+001,3.738501e+000
2.432000e+001,6.100000e+001,5.473250e+001,4.481568e+001,6.267505e+000
2.434000e+001,6.500000e+001,5.520551e+001,4.494241e+001,9.794494e+000
2.436000e+001,5.500000e+001,5.567994e+001,4.506822e+001,-6.799407e-001
2.438000e+001,5.400000e+001,5.615518e+001,4.519310e+001,-2.155181e+000
2.440000e+001,5.800000e+001,5.663058e+001,4.531701e+001,1.369416e+000
2.442000e+001,5.700000e+001,5.710548e+001,4.543992e+001,-1.054838e-001
2.444000e+001,6.400000e+001,5.757919e+001,4.556181e+001,6.420809e+000
2.446000e+001,5.600000e+001,5.805100e+001,4.568265e+001,-2.050997e+000
2.448000e+001,5.500000e+001,5.852018e+001,4.580242e+001,-3.520176e+000
2.450000e+001,5.200000e+001,5.898598e+001,4.592109e+001,-6.985984e+000
2.452000e+001,6.300000e+001,5.944767e+001,4.603863e+001,3.552333e+000
2.454000e+001,6.000000e+001,5.990446e+001,4.615502e+001,9.554398e-002
2.456000e+001,5.900000e+001,6.035558e+001,4.627022e+001,-1.355576e+000
2.458000e+001,6.400000e+001,6.080025e+001,4.638422e+001,3.199749e+000
2.460000e+001,5.600000e+001,6.123772e+001,4.649702e+001,-5.237723e+000
2.462000e+001,5.400000e+001,6.166724e+001,4.660862e+001,-7.667240e+000
2.464000e+001,6.400000e+001,6.208805e+001,4.671903e+001,1.911948e+000
2.466000e+001,6.400000e+001,6.249941e+001,4.682825e+001,1.500586e+000
2.468000e+001,6.700000e+001,6.290059e+001,4.693630e+001,4.099410e+000
2.470000e+001,7.600000e+001,6.329086e+001,4.704318e+001,1.270914e+001
2.472000e+001,5.900000e+001,6.366950e+001,4.714889e+001,-4.669504e+000
2.474000e+001,5.900000e+001,6.403584e+001,4.725344e+001,-5.035839e+000
2.476000e+001,6.900000e+001,6.438919e+001,4.735684e+001,4.610810e+000
2.478000e+001,8.000000e+001,6.472891e+001,4.745909e+001,1.527109e+001
2.480000e+001,5.900000e+001,6.505437e+001,4.756020e+001,-6.054373e+000
2.482000e+001,6.300000e+001,6.536499e+001,4.766018e+001,-2.364990e+000
2.484000e+001,5.200000e+001,6.566020e+001,4.775902e+001,-1.366020e+001
2.486000e+001,7.200000e+001,6.593947e+001,4.785674e+001,6.060531e+000
2.488000e+001,6.600000e+001,6.620231e+001,4.795335e+001,-2.023137e-001
2.490000e+001,6.800000e+001,6.644828e+001,4.804884e+001,1.551719e+000
2.492000e+001,6.400000e+001,6.667696e+001,4.814323e+001,-2.676960e+000
2.494000e+001,5.500000e+001,6.688798e+001,4.823652e+001,-1.188798e+001
